id,title,description,price,rating,sales_volume,reviews_count,asin,image_link
40ef6693-4144-4961-9983-256425c7c922,"Do You Really Know Your Family? A Fun Family Game Filled with Conversation Starters and Challenges - Great for Kids, Teens and Adults","Take your SCRABBLE experience to a new level This SCRABBLE Game Spells L-U-X-U-R-Y. Now you can play America's favorite word game in style. Gather your friends and family around this handsome wood game cabinet, draw your seven faux-ivory SCRABBLE letter tiles and spin the built-in rotating game board. This exquisite set offers all of the fun and challenge of classic SCRABBLE, with added luxurious features including a gold-toned raised grid to hold the letter tiles in place, foil-stamped scorepad and pencil, tile racks and timer with diecast end caps, and a drawer to store and organize these wonderful components. This extraordinary SCRABBLE set is designed for those looking to enjoy the truly finer things in life. Contents The game equipment consists of a 2-tone wood cabinet with gold-tone metal accents, an integrated storage drawer and rotation feature. Includes 100 deluxe faux-ivory SCRABBLE letter tiles, 4 deluxe wood tile racks with gold-tone metal end caps, sand timer with gold-tone metal end caps, embossed faux-leather SCRABBLE letter tile pouch, gold foil-stamped scorebook with matching pencil, and instructions. Weights and Measures Game Cabinet Measures 17.5 x 16.5 x 3.5 inches and weighs 9.4 pounds with all game components stored inside. SCRABBLE letter tiles measure 0.8125 x 0.75 inches. Letter tile racks are 7.25 inches long. Design and Production Designed by WS Game Company in the Commonwealth of Massachusetts, USA. Produced in China. This adult collectible game is appropriate for 2 to 4 Players.",14.59,4.6,5K+ bought in past month,14850,B087CBJ465,https://m.media-amazon.com/images/I/71HhBMdgrLL._AC_SL1200_.jpg
799639e6-b600-4189-849e-4564e938f08f,Hasbro Gaming Battleship with Planes Strategy Board Game for Ages 7 and Up (Amazon Exclusive),"['https://m.media-amazon.com/images/S/aplus-media-library-service-media/2cf8dec6-9e5d-4009-b912-bb1070a558d0.__CR0,0,3050,1302_PT0_SX1464_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/1deb4ef7-3bde-4d5a-923c-fe247925cd4a.__CR0,0,1509,1888_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/3691a6a1-fc63-4c9d-9286-b584c53a88cd.__CR0,0,754,944_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/7fc2d065-f373-4db0-9540-c931b5a78458.__CR0,0,1509,1888_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/8d0c883e-80d1-4836-b740-d5c7f5f651c9.__CR0,0,1509,1888_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/aa388c4d-0e65-4560-9d59-71c55f609aab.__CR28,31,622,682_PT0_SX166_V1___.png', 'https://m.media-amazon.com/images/I/51Eb8SrC3eL.__AC_SR166,182___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/9010295f-3da6-4c05-b36d-66c0426a13a0.__CR761,0,684,750_PT0_SX166_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/98d2ca0f-08ff-4a5a-9ecf-18d7fc85f1f4.__CR137,0,2850,3125_PT0_SX166_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/62bfbd21-e178-455a-aa74-faad5440f92d.__CR0,0,754,944_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/6c82a999-413a-41bf-a963-f3ce339f2db7.__CR0,0,754,944_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/5102742a-67b1-4846-a709-8f35fcaebe86.__CR0,0,754,944_PT0_SX362_V1___.png', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/14ed34ea-de21-4c34-9e47-07b72ff92d27.__CR0,0,2911,900_PT0_SX970_V1___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/fd94d0d8-8f2a-41f1-97a2-a9568329d1f2.__CR0,0,2910,1800_PT0_SX970_V1___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/9cedcad7-f316-4956-af51-f7179a9b5f80.__CR0,0,2910,1800_PT0_SX970_V1___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/7cb33941-1dec-49e0-b822-6e7e86e61ed2.__CR0,0,2910,1800_PT0_SX970_V1___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/163c90fd-8b2f-4de3-af4e-d351b71c1c0e.__CR0,0,2910,1800_PT0_SX970_V1___.jpg', 'https://m.media-amazon.com/images/S/aplus-media-library-service-media/88f72dbf-408c-4b38-b1fc-7b444407c960.__CR0,0,2911,900_PT0_SX970_V1___.jpg']",16.99,4.7,2K+ bought in past month,20971,B06Y1N3PTX,https://m.media-amazon.com/images/I/81yc8EwVeLL._AC_SL1500_.jpg
93e5f599-f04f-4079-a61f-3a4a1d32211b,WS Game Company Scrabble Trophy Luxury Edition with Rotating Wooden Game Board,"This exclusive edition of the Battleship game includes 2 planes in addition to ships, for exciting aircraft combat. In head to head battle, players search for the enemy’s fleet of ships and aircraft, and destroy them one by one. With convenient portable battle cases and realistic looking naval crafts and planes, the Battleship game puts players right in the middle of the action. Each player announces the coordinates of each strike, and then hopes that it hits. Position ships strategically to survive opponent's relentless strikes, and track hits and misses with red and white pegs on the ocean grid. No ship or aircraft is safe in this game of stealth and suspense. Hasbro gaming and all related terms are a trademark of Hasbro.",209.99,4.6,50+ bought in past month,320,B000J58Z12,https://m.media-amazon.com/images/I/81MGBeg7uHL._AC_SL1500_.jpg
557028bb-f956-44aa-a0c4-c2496b12e8ee,Black Rose Wars Kickstarter Board Game English,"Challenge other Mages in a competitive and strategic board game set in a dark and magic-filled Italian Renaissance. Choose your School of Magic, cast devastating spells, summon arcane creatures, and bend the Rooms of the Lodge to your will. Only one will be crowned Grand Magister. The Black Rose is watching you... will you be her Champion?",0.0,0.0,0,0,B0F8VVW8NJ,https://m.media-amazon.com/images/I/61cqeDr1gaL._AC_.jpg
3f18520c-163c-4943-ac96-a743acba2413,Big Potato Herd Mentality: Udderly Hilarious Board Game for Group Fun | Easy Setup & Play | The Perfect Party Game for 4-20 Players | Includes 20 Extra Exclusive Question Cards,"It's grid-spinning, game-changing fun in this strategy board game of weights and balances! Players choose where to put their disc into the grid, and then spin the column to line them up. They need to get 4 in a row--horizontally, vertically, or diagonally --to win. But they also need to keep an eye out for their opponent's disc placement before spinning or they might throw them a victory. Each set of discs includes a weighted disc that can change the game in an instant. With 2 game modes, Beginner and Expert, the Connect 4 Spin game is a great choice for a family game night and play dates for kids ages 8 and up. This 2-player game is a fun family and kids gift. Hasbro Gaming and all related trademarks and logos are trademarks of Hasbro, Inc.",19.99,4.7,3K+ bought in past month,5117,B093HBBMPT,https://m.media-amazon.com/images/I/61bvvNpzQvL._AC_SL1500_.jpg
c0be111a-fdc5-46bb-815e-1bad1316b6f9,Monopoly Harry Potter Edition Board Game | A Magical Adventure at Hogwarts | Ages 8 and Up | 2 to 6 Players | Family Games | Gifts for Kids and Adults,"Ready for a magical year at Hogwarts? In the Monopoly HARRY POTTER Edition game, play as a Hogwarts student. To start, each player chooses a themed golden token. Then they’ll choose a House Card to be sorted into a house. In this edition, Hogwarts locations are properties and house points replace Monopoly money. Move around the board and use house points to explore iconic locations in Hogwarts castle and Hogsmeade Village. The more a player explores, the more house points they can collect from other players. Collect a color set to add house crests, and draw Owl Post cards for game-changing news. The game ends when all locations have been explored, and the player with the most house points wins! This strategy board game is a fun game for family time, and it’s a great gift for kids ages 8 and up, teens, and adults who are fans of HARRY POTTER. All characters and elements are copyright and trademark Warner Bros. Entertainment Inc. WB SHIELD: Copyright and trademark WBEI. Publishing Rights copyright JKR. The Hasbro and Monopoly names and logos, the distinctive design of the gameboard, the four corner squares, the Mr. Monopoly name and character, as well as each of the distinctive elements of the board and playing pieces are trademarks of Hasbro, Inc. for its property trading game and game equipment.",23.49,4.8,2K+ bought in past month,1598,B0CS7VH7HM,https://m.media-amazon.com/images/I/81QCZPum-9L._AC_SL1500_.jpg
12baa5fc-b4d7-437d-89a6-71af84419310,Ravensburger Horrified Games - Greek Monsters - Strategy Board Game - Boost Critical Thinking & Teamwork - Cooperative Gameplay - Unique Monster Challenges - 1 to 5 Players - Adults & Kids 10+,"It’s the game of unspeakable fun! In the Taboo game, get your team to say the Guess word without saying any of the Taboo words! Who can get teammates to say ""Fame"" without being able to say Celebrity, Superstar, Musical, Known, or Fortune? This classic Taboo board game features 212 cards with 848 relatable guess words from pop culture, trends, and more. Players try to give creative and carefully worded clues to help team members guess words fast as they race against the timer. Just don't mention unmentionables, or it's time for the squeaker and you lose that point. The Taboo card game for adults and teens ages 13 and up is an exciting pick for family game nights. It also makes a great group game for game nights with friends. You can even just take the card box and use the online tools to play the Taboo word game almost anywhere! Hasbro Gaming and all related terms are trademarks of Hasbro. © 2023 Hersch and Company. Taboo is a trademark of Hersch and Company, Los Angeles, CA. HASBRO and all related trademarks and logos are trademarks of Hasbro, Inc. © 2023 Hasbro. TM & ® denote U.S. Trademarks.",18.89,4.8,500+ bought in past month,357,B0CHDNC8ZJ,https://m.media-amazon.com/images/I/91DdVPQaqbL._AC_SL1500_.jpg
232c6911-934d-42a0-891d-add430d6ad2a,"Spin Master Games, Cardinal Classics Double Nine Dominoes Set in Storage Tin, Dominoes for Kids & Adults, Classic Game, 2-6 Players, for Ages 8 & Up","Who knew yetis liked spaghetti?!? We did! In this wacky, fun game, the noodles are laid across the bowl and Yeti is just sitting there on the noodles. But as you remove the noodles one by one (be careful!), Yeti could fall into the bowl, and that would mean you lose! For 2 or more players, ages 4 and up.",12.96,4.6,4K+ bought in past month,18402,B08PW35JDP,https://m.media-amazon.com/images/I/81iuobfdn+L._AC_SL1500_.jpg
40c9228a-3e2b-4bc7-9e6e-9ddf07636a7e,"Hasbro Gaming Taboo Classic Game, Party Word Guessing Game for Adults and Teens, Board Game for 4+ Players Ages 13 and Up","Product Description Round and round she goes. Hi Ho! Cherry-O is the counting game in which players race to be the first to have 10 cherries in their basket. A spin of the arrow determines your fate. It will instruct you to pick one, two, three, or four cherries from your tree and put 'em in your basket. That is, of course, if you don't land on the bird or the dog, requiring you to take two cherries from your basket and return them to the tree. And try not to land on the spilled bucket or--you guessed it--spill the contents of your basket or you start over. Amazon.com Round and round she goes. Hi Ho! Cherry-O is the counting game in which players race to be the first to have 10 cherries in their basket. A spin of the arrow determines your fate. It will instruct you to pick one, two, three, or four cherries from your tree and put 'em in your basket. That is, of course, if you don't land on the bird or the dog, requiring you to take two cherries from your basket and return them to the tree. And try not to land on the spilled bucket or--you guessed it--spill the contents of your basket or you start over. --Alison Golder P.when('A').execute(function(A) { A.on('a:expander:toggle_description:toggle:collapse', function(data) { window.scroll(0, data.expander.$expander[0].offsetTop-100); }); }); From the Manufacturer Round and round she goes. Hi Ho! Cherry-O is the counting game in which players race to be the first to have 10 cherries in their basket. A spin of the arrow determines your fate. It will instruct you to pick one, two, three, or four cherries from your tree and put 'em in your basket. That is, of course, if you don't land on the bird or the dog, requiring you to take two cherries from your basket and return them to the tree. And try not to land on the spilled bucket or--you guessed it--spill the contents of your basket or you start over. See more",15.59,4.8,2K+ bought in past month,1349,B0B3FXMB7Q,https://m.media-amazon.com/images/I/81MBgtB-Y8L._AC_SL1500_.jpg
f6adceb7-5bf3-4548-9d94-dd7106b11a72,"Yeti in My Spaghetti Board Game – Kids Games, Family Game, Multi-Player, Board Games for Family Night, Preschool Toys, Hand-Eye-Coordination Game, Don’t Drop Yeti, Ages 4+","As a wealthy Renaissance merchant, acquire mines and transportation, hire artisans and woo the nobility. Create the most fantastic jewelry to become the best-known merchant of them all! Acquire precious stones to trade them for development cards. Use development cards to acquire more gem stones. Use your gems and gold to create the most fantastic jewelry, and appeal to the nobles to gain the prestige you need to win. Splendor is made by Space Cowboys and sold by Asmodee.",9.89,4.7,2K+ bought in past month,15484,B00UPAYY5C,https://m.media-amazon.com/images/I/814OO94zSoL._AC_SL1500_.jpg
